incident_id,incident_type,location,timestamp,severity,asset,casualties,source,confidence
INC-0043,GPS Interference,Darjeeling,2023-06-22 08:37:00,Medium,Communication Tower,0,HUMINT,0.61
INC-0044,Suspicious Activity,Raiganj,2023-04-18 13:17:00,Medium,Network Infrastructure,0,Social Media,0.71
INC-0045,Personnel Incident,Bardhaman,2023-06-28 11:01:00,Medium,Satellite,0,Social Media,0.57
INC-0046,Suspicious Activity,Cooch Behar,2023-01-04 21:29:00,Low,Satellite,0,OSINT,0.8
INC-0047,Unauthorized Access,Durgapur,2023-01-26 08:23:00,Low,Drone,0,CCTV,0.76
INC-0048,Suspicious Activity,Malda,2023-04-02 05:36:00,High,Drone,0,IMINT,0.64
INC-0049,Cyber Intrusion,Cooch Behar,2023-06-01 20:39:00,High,Personnel,0,SIGINT,0.89
INC-0050,Vehicle Incident,Jalpaiguri,2023-05-29 08:59:00,Medium,Satellite,1,Internal Report,0.83
INC-0051,Infrastructure Failure,Darjeeling,2023-04-03 22:36:00,Low,Communication Tower,0,OSINT,0.57
INC-0052,GPS Interference,Siliguri,2023-03-28 04:43:00,Low,Warehouse,0,Unknown,0.54
INC-0053,Infrastructure Failure,Siliguri,2023-04-07 14:46:00,Low,Database,0,Internal Report,0.84
INC-0054,Supply Disruption,Kharagpur,2023-01-08 16:22:00,Low,Vehicle,0,cctv,0.76
INC-0055,Fire,Jalpaiguri,2023-04-22 12:10:00,Medium,Drone,3,Internal Report,0.89
INC-0056,Supply Disruption,Durgapur,2023-04-08 01:57:00,High,Satellite,1,Social Media,0.75
INC-0057,Communication Outage,Haldia,2023-02-06 21:07:00,Low,Power Grid,0,Social Media,0.52
INC-0058,Vehicle Incident,Siliguri,2023-01-14 04:57:00,Medium,Drone,0,IMINT,0.75
INC-0059,GPS Interference,Raiganj,2023-06-13 07:10:00,High,,1,SIGINT,0.77
INC-0060,Unauthorized Access,kolkata,2023-01-25 23:40:00,Low,Power Grid,0,Social Media,0.74
INC-0061,Communication Outage,Cooch Behar,2023-01-30 15:15:00,Critical,Satellite,0,IMINT,0.58
INC-0062,Physical Security Breach,Bardhaman,2023-03-18 16:35:00,Low,Warehouse,0,IMINT,0.41
INC-0063,Infrastructure Failure,Cooch Behar,2023-04-11 20:40:00,Low,Power Grid,0,Social Media,0.47
INC-0064,Supply Disruption,Siliguri,2023-04-24 13:58:00,Low,Database,0,,0.89
INC-0065,Data Breach,Asansol,2023-01-20 01:47:00,Low,Communication Tower,0,HUMINT,0.69
INC-0066,Personnel Incident,Asansol,2023-01-24 14:02:00,Critical,Communication Tower,0,CCTV,0.86
INC-0067,Infrastructure Failure,Cooch Behar,2023-04-04 17:07:00,High,Vehicle,1,Unknown,0.34
INC-0068,Vehicle Incident,Siliguri,2023-05-26 13:27:00,High,Server,0,SIGINT,0.88
INC-0069,Drone Sighting,Malda,2023-05-26 22:22:00,Medium,Vehicle,0,ELINT,0.61
INC-0070,Cyber Intrusion,Bardhaman,2023-01-23 03:37:00,Critical,Drone,1,Social Media,0.61
INC-0071,GPS Interference,Durgapur,2023-01-08 20:46:00,Low,Communication Tower,0,Internal Report,0.85
INC-0072,Data Breach,Raiganj,2023-02-02 23:26:00,High,Satellite,2,IMINT,0.74
INC-0073,Supply Disruption,Raiganj,2023-02-22 18:51:00,Medium,Drone,1,Social Media,0.47
INC-0074,Cyber Intrusion,Kolkata,2023-01-04 07:21:00,Low,Satellite,0,ELINT,0.72
INC-0075,Infrastructure Failure,Durgapur,2023-02-04 11:44:00,Critical,Vehicle,1,Internal Report,0.93
INC-0076,Personnel Incident,Kharagpur,2023-04-29 08:21:00,Critical,Satellite,0,CCTV,0.79
INC-0077,Physical Security Breach,Durgapur,2023-02-09 04:08:00,Medium,Power Grid,0,IMINT,0.85
INC-0078,Communication Outage,Kolkata,2023-06-28 17:54:00,Low,Drone,0,OSINT,0.67
INC-0079,Personnel Incident,Haldia,2023-01-11 02:03:00,High,Network Infrastructure,0,HUMINT,0.68
INC-0080,Infrastructure Failure,Darjeeling,2023-02-23 08:23:00,Medium,Drone,1,OSINT,0.68
INC-0081,Physical Security Breach,Jalpaiguri,2023-02-17 22:07:00,High,Database,0,Sensor,0.61
INC-0082,Unauthorized Access,Bardhaman,2023-06-10 15:12:00,Medium,Server,0,cctv,
INC-0083,Data Breach,Jalpaiguri,2023-01-16 06:31:00,Medium,Database,1,Social Media,0.55
INC-0084,Data Breach,Siliguri,2023-01-01 21:37:00,Medium,Power Grid,0,HUMINT,0.81
INC-0085,Data Breach,Asansol,2023-03-13 17:19:00,Medium,Vehicle,0,cctv,0.73
INC-0086,Personnel Incident,Cooch Behar,2023-04-07 08:03:00,Critical,Warehouse,0,SIGINT,0.91
INC-0087,Data Breach,Cooch Behar,2023-03-31 23:09:00,Medium,Server,0,SIGINT,0.94
INC-0088,Personnel Incident,Haldia,2023-05-11 03:55:00,Medium,Satellite,0,Internal Report,0.95
INC-0089,Personnel Incident,Malda,2023-04-14 11:43:00,Medium,Vehicle,0,OSINT,0.51
INC-0090,Drone Sighting,Haldia,2023-01-25 05:29:00,Critical,Satellite,2,Sensor,0.62
INC-0091,Personnel Incident,Durgapur,2023-01-04 10:18:00,Critical,Drone,0,Internal Report,0.8
INC-0092,GPS Interference,Jalpaiguri,2023-05-26 05:11:00,Low,Satellite,0,HUMINT,0.62
INC-0093,Data Breach,Siliguri,2023-05-15 03:04:00,High,Database,0,Social Media,0.66
INC-0094,GPS Interference,Raiganj,2023-02-07 08:36:00,Critical,Personnel,0,IMINT,0.78
INC-0095,Personnel Incident,Asansol,2023-01-14 23:16:00,Low,Network Infrastructure,0,Social Media,0.62
INC-0096,Fire,Darjeeling,2023-02-06 02:20:00,High,,0,cctv,0.83
INC-0097,Fire,Malda,2023-05-07 03:16:00,Medium,Server,1,ELINT,0.69
INC-0098,Personnel Incident,Siliguri,2023-03-30 10:29:00,Medium,Personnel,0,ELINT,
INC-0099,Infrastructure Failure,Kharagpur,2023-04-05 00:46:00,Critical,Vehicle,0,ELINT,0.9
INC-0100,Data Breach,Siliguri,2023-04-10 22:57:00,Critical,Server,2,IMINT,0.53
INC-0101,Infrastructure Failure,Asansol,2023-01-14 22:04:00,Critical,Database,0,Internal Report,0.98
INC-0102,Drone Sighting,Malda,2023-06-19 09:34:00,Low,Communication Tower,2,IMINT,0.74
INC-0103,Communication Outage,Malda,2023-02-17 15:51:00,High,Vehicle,0,Sensor,0.85
INC-0104,Infrastructure Failure,Haldia,2023-02-12 02:55:00,Low,,0,Social Media,0.3
INC-0105,Vehicle Incident,Asansol,2023-03-31 12:15:00,Medium,Power Grid,1,Social Media,0.47
INC-0106,Physical Security Breach,Kolkata,2023-02-27 12:57:00,High,Warehouse,0,HUMINT,0.89
INC-0107,GPS Interference,Kolkata,2023-01-22 20:28:00,High,Drone,1,IMINT,0.57
INC-0108,Fire,Siliguri,2023-03-13 12:36:00,High,Power Grid,0,CCTV,0.92
INC-0109,Data Breach,Siliguri,2023-06-05 12:17:00,Low,Drone,0,OSINT,0.75
INC-0110,Data Breach,Haldia,2023-01-28 02:37:00,High,Database,0,IMINT,0.75
INC-0111,Cyber Intrusion,Raiganj,2023-05-23 22:20:00,Critical,,1,CCTV,0.86
INC-0112,Cyber Intrusion,kolkata,2023-05-11 23:51:00,Critical,,0,HUMINT,0.82
INC-0113,Infrastructure Failure,Kolkata,2023-01-26 05:25:00,Medium,Communication Tower,0,ELINT,0.69
INC-0114,Data Breach,Asansol,2023-03-04 13:29:00,High,Power Grid,0,ELINT,0.76
INC-0115,Supply Disruption,Raiganj,2023-02-24 18:22:00,Critical,Vehicle,0,Social Media,0.38
INC-0116,Unauthorized Access,Jalpaiguri,2023-01-30 10:17:00,Critical,Satellite,0,HUMINT,0.68
INC-0117,Suspicious Activity,Kharagpur,2023-06-14 23:30:00,Critical,Communication Tower,0,Sensor,0.79
INC-0118,Communication Outage,Bardhaman,2023-02-14 10:25:00,Low,Warehouse,0,HUMINT,0.68
INC-0119,Unauthorized Access,Kolkata,2023-02-17 00:46:00,Critical,Power Grid,0,,0.41
INC-0120,Vehicle Incident,Asansol,2023-04-06 10:07:00,High,Server,0,IMINT,
INC-0121,Communication Outage,Raiganj,2023-04-15 13:04:00,Medium,Vehicle,0,Sensor,0.69
INC-0122,Vehicle Incident,Raiganj,2023-02-15 05:30:00,Critical,Power Grid,0,CCTV,0.98
INC-0123,Communication Outage,Kolkata,2023-06-04 11:57:00,Critical,Personnel,2,OSINT,0.89
INC-0124,Drone Sighting,Haldia,2023-03-31 04:04:00,Critical,Personnel,0,OSINT,0.6
INC-0125,Communication Outage,Darjeeling,2023-01-20 20:25:00,Low,Personnel,2,IMINT,0.44
INC-0126,Cyber Intrusion,Darjeeling,2023-05-22 10:09:00,Medium,Network Infrastructure,1,OSINT,0.87
INC-0127,Communication Outage,Raiganj,2023-04-28 12:15:00,High,Satellite,0,ELINT,0.75
INC-0128,Drone Sighting,kolkata,2023-05-08 04:09:00,High,Satellite,1,HUMINT,0.93
INC-0129,Data Breach,Durgapur,2023-02-04 21:33:00,Low,Server,0,CCTV,0.86
INC-0130,Physical Security Breach,Raiganj,2023-03-25 20:47:00,Medium,Personnel,0,ELINT,0.71
INC-0131,Cyber Intrusion,kolkata,2023-04-10 13:53:00,High,Server,0,IMINT,2.0
INC-0132,Drone Sighting,Asansol,2023-04-01 17:09:00,Medium,Power Grid,1,CCTV,0.97
INC-0133,Cyber Intrusion,Cooch Behar,2023-02-11 06:50:00,High,Power Grid,0,Social Media,0.48
INC-0134,Cyber Intrusion,Asansol,2023-03-14 03:42:00,Low,Database,0,IMINT,0.62
INC-0135,Suspicious Activity,Durgapur,2023-02-06 11:37:00,Medium,Personnel,0,ELINT,0.59
INC-0136,Drone Sighting,Malda,2023-05-19 10:32:00,Critical,Network Infrastructure,0,ELINT,0.57
INC-0137,Vehicle Incident,Raiganj,2023-02-10 15:43:00,Low,Network Infrastructure,0,Social Media,0.37
INC-0138,Unauthorized Access,Kolkata,2023-03-13 15:03:00,Medium,Power Grid,0,OSINT,0.52
INC-0139,Vehicle Incident,Kharagpur,2023-01-11 22:44:00,High,Vehicle,0,SIGINT,0.99
INC-0140,Physical Security Breach,Durgapur,2023-06-19 14:12:00,Medium,Satellite,0,SIGINT,0.92
INC-0141,Personnel Incident,Cooch Behar,2023-01-06 19:20:00,Critical,Warehouse,0,ELINT,0.89
INC-0142,Drone Sighting,Kolkata,2023-03-22 13:01:00,Low,Drone,0,SIGINT,0.72
INC-0143,Supply Disruption,Durgapur,2023-03-18 11:48:00,Critical,Warehouse,0,HUMINT,0.87
INC-0144,Drone Sighting,Kolkata,2023-02-26 04:43:00,Critical,Database,0,CCTV,0.81
INC-0145,Unauthorized Access,Bardhaman,2023-06-17 09:23:00,High,Personnel,0,Social Media,0.32
INC-0146,Suspicious Activity,Raiganj,2023-03-16 18:49:00,Critical,Server,0,IMINT,0.57
INC-0147,Suspicious Activity,Kolkata,2023-03-26 11:28:00,High,,2,HUMINT,0.86
INC-0148,Physical Security Breach,Bardhaman,2023-06-13 13:49:00,High,Warehouse,0,Unknown,0.68
INC-0149,Data Breach,Cooch Behar,2023-04-23 07:37:00,High,Drone,0,OSINT,0.62
INC-0150,Suspicious Activity,Raiganj,2023-05-12 08:35:00,Low,Server,0,Unknown,0.61
INC-0151,GPS Interference,Kharagpur,2023-01-20 12:37:00,Critical,Drone,0,Social Media,0.76
INC-0152,Communication Outage,Kharagpur,2023-05-29 07:54:00,Medium,Server,0,Social Media,0.7
INC-0153,GPS Interference,Darjeeling,2023-05-15 10:30:00,Medium,Warehouse,1,ELINT,0.84
INC-0154,Suspicious Activity,Malda,2023-03-25 21:11:00,Low,Satellite,0,Sensor,0.67
INC-0155,Unauthorized Access,Haldia,2023-05-18 01:24:00,Low,Server,0,cctv,0.84
INC-0156,Communication Outage,Haldia,2023-04-10 03:27:00,Low,Vehicle,1,Sensor,0.69
INC-0157,Drone Sighting,Haldia,2023-01-16 07:21:00,Critical,Personnel,1,,0.48
INC-0158,Infrastructure Failure,Malda,2023-01-25 04:47:00,Medium,Satellite,0,CCTV,0.95
INC-0159,Suspicious Activity,Asansol,2023-05-01 22:55:00,High,Drone,0,HUMINT,
INC-0160,GPS Interference,Asansol,2023-03-09 21:32:00,Medium,Personnel,0,ELINT,0.6
INC-0161,Communication Outage,Asansol,2023-02-14 15:54:00,Medium,Warehouse,0,IMINT,0.43
INC-0162,Supply Disruption,Jalpaiguri,2023-02-15 19:29:00,Medium,Vehicle,0,IMINT,0.69
INC-0163,Cyber Intrusion,Kharagpur,2023-01-07 17:45:00,Medium,Personnel,0,HUMINT,0.92
INC-0164,Unauthorized Access,Siliguri,2023-01-08 08:20:00,Low,Database,2,ELINT,0.74
INC-0165,Unauthorized Access,Siliguri,2023-05-31 17:15:00,High,Satellite,0,,0.63
INC-0166,Data Breach,Raiganj,2023-03-23 18:12:00,Low,Vehicle,0,Unknown,0.52
INC-0167,Physical Security Breach,Durgapur,2023-05-10 04:45:00,Low,Warehouse,2,Unknown,0.37
INC-0168,Data Breach,Kolkata,2023-01-09 00:57:00,Medium,Server,1,IMINT,0.77
INC-0169,Communication Outage,Malda,2023-03-16 10:55:00,High,Vehicle,0,Sensor,0.67
INC-0170,Supply Disruption,Kharagpur,2023-05-25 18:38:00,Low,Power Grid,0,Social Media,0.35
INC-0171,Communication Outage,Raiganj,2023-03-13 23:04:00,Low,Communication Tower,0,Internal Report,0.88
INC-0172,Data Breach,Raiganj,2023-02-19 08:44:00,High,Power Grid,0,CCTV,0.98
INC-0173,Physical Security Breach,Haldia,2023-02-26 20:43:00,Critical,Server,1,Unknown,0.63
INC-0174,Personnel Incident,Durgapur,2023-05-27 00:57:00,Critical,Power Grid,0,Sensor,0.67
INC-0175,Communication Outage,Haldia,2023-01-02 01:40:00,Low,Vehicle,0,CCTV,0.82
INC-0176,Infrastructure Failure,Darjeeling,2023-06-10 17:10:00,Medium,Server,0,Sensor,0.62
INC-0177,Drone Sighting,Malda,2023-01-26 22:34:00,High,Satellite,1,CCTV,
INC-0178,Communication Outage,Jalpaiguri,2023-03-05 08:11:00,Medium,Vehicle,0,ELINT,0.54
INC-0179,Data Breach,Darjeeling,2023-03-31 07:04:00,Low,Personnel,1,IMINT,0.54
INC-0180,Drone Sighting,Cooch Behar,2023-04-21 14:50:00,Medium,Database,1,CCTV,0.88
INC-0181,Infrastructure Failure,Darjeeling,2023-04-22 21:47:00,Medium,Server,0,IMINT,0.58
INC-0182,Vehicle Incident,Bardhaman,2023-04-05 06:42:00,Low,Communication Tower,0,SIGINT,0.77
INC-0183,Cyber Intrusion,Jalpaiguri,2023-05-12 23:03:00,Low,Warehouse,0,IMINT,0.45
INC-0184,Supply Disruption,Raiganj,2023-04-20 03:20:00,High,Power Grid,0,Social Media,0.45
INC-0185,Vehicle Incident,Raiganj,2023-02-15 09:01:00,High,Personnel,1,CCTV,0.85
INC-0186,Cyber Intrusion,Malda,2023-02-02 13:01:00,Critical,Personnel,2,OSINT,0.59
INC-0187,Suspicious Activity,Kharagpur,2023-05-20 00:04:00,Medium,Personnel,0,,0.4
INC-0188,Physical Security Breach,Haldia,2023-01-13 05:15:00,High,Vehicle,0,SIGINT,0.93
INC-0189,Personnel Incident,Kolkata,2023-04-02 19:30:00,Low,Communication Tower,1,Internal Report,0.82
INC-0190,Suspicious Activity,kolkata,2023-05-14 12:37:00,Low,Server,0,Sensor,0.86
INC-0191,Personnel Incident,Darjeeling,2023-06-12 21:44:00,Low,Vehicle,1,CCTV,-0.3
INC-0192,Unauthorized Access,Darjeeling,2023-05-14 06:31:00,Critical,Drone,0,HUMINT,0.93
INC-0193,Personnel Incident,Cooch Behar,2023-06-16 18:14:00,Medium,Vehicle,0,SIGINT,0.94
INC-0194,Communication Outage,Bardhaman,2023-04-22 03:04:00,High,,0,ELINT,0.56
INC-0195,Unauthorized Access,Malda,2023-04-02 10:13:00,High,Network Infrastructure,1,Social Media,
INC-0196,Cyber Intrusion,Durgapur,2023-02-28 02:04:00,Medium,Power Grid,1,Sensor,0.66
INC-0197,Personnel Incident,Bardhaman,2023-06-20 11:12:00,Critical,Communication Tower,0,ELINT,0.82
INC-0198,Suspicious Activity,Jalpaiguri,2023-02-18 02:55:00,Low,Warehouse,1,HUMINT,0.94
INC-0199,Supply Disruption,Malda,2023-03-24 11:21:00,Low,Drone,0,Internal Report,1.0
INC-0200,GPS Interference,Bardhaman,2023-04-25 15:32:00,High,Power Grid,0,CCTV,0.99
INC-0201,Physical Security Breach,Bardhaman,2023-04-16 02:31:00,Low,Personnel,0,SIGINT,0.77
INC-0202,Data Breach,Jalpaiguri,2023-04-23 00:36:00,High,Drone,0,OSINT,0.76
INC-0203,Personnel Incident,Bardhaman,2023-06-29 03:24:00,Low,Server,1,Unknown,0.31
INC-0204,Personnel Incident,Haldia,2023-02-22 23:16:00,Critical,Satellite,1,Unknown,0.38
INC-0205,Infrastructure Failure,Durgapur,2023-01-09 16:44:00,Low,Server,0,SIGINT,0.72
INC-0206,Data Breach,Siliguri,2023-04-14 05:47:00,High,Satellite,0,Sensor,0.68
INC-0207,Fire,Darjeeling,2023-04-17 05:44:00,Medium,Warehouse,0,ELINT,0.75
INC-0208,Communication Outage,Kolkata,2023-03-28 10:52:00,Medium,Communication Tower,1,SIGINT,0.83
INC-0209,Personnel Incident,Asansol,2023-01-12 14:10:00,Critical,Drone,0,SIGINT,0.98
INC-0210,Physical Security Breach,Malda,2023-01-11 05:14:00,Critical,Network Infrastructure,0,Internal Report,0.99
INC-0211,Unauthorized Access,Darjeeling,2023-05-14 12:48:00,Low,Server,1,Social Media,0.33
INC-0212,Communication Outage,Durgapur,2023-01-05 14:12:00,Medium,Server,1,CCTV,0.96
INC-0213,Fire,Jalpaiguri,2023-01-20 02:23:00,Medium,Communication Tower,1,OSINT,1.5
INC-0214,Personnel Incident,Jalpaiguri,2023-04-05 08:18:00,Critical,Network Infrastructure,0,Unknown,0.29
INC-0215,Data Breach,Raiganj,2023-02-26 07:42:00,Low,Personnel,1,HUMINT,-0.1
INC-0216,Vehicle Incident,Cooch Behar,2023-01-02 03:44:00,Critical,Vehicle,0,CCTV,0.92
INC-0217,Unauthorized Access,Siliguri,2023-03-24 08:56:00,High,Database,0,SIGINT,0.89
INC-0218,GPS Interference,Cooch Behar,2023-01-23 10:33:00,High,Server,0,cctv,0.69
INC-0219,Personnel Incident,Jalpaiguri,2023-04-11 19:32:00,High,,0,CCTV,0.89
INC-0220,Drone Sighting,Jalpaiguri,2023-06-25 16:45:00,Low,Communication Tower,0,IMINT,0.52
INC-0221,Communication Outage,Cooch Behar,2023-02-12 23:34:00,High,Database,0,IMINT,0.8
INC-0222,Unauthorized Access,Haldia,2023-03-01 19:28:00,Critical,Personnel,0,Unknown,0.62
INC-0223,Cyber Intrusion,Haldia,2023-05-07 23:56:00,Medium,Network Infrastructure,0,OSINT,0.85
INC-0224,Vehicle Incident,Malda,2023-05-24 16:04:00,Low,Network Infrastructure,1,IMINT,0.81
INC-0225,Cyber Intrusion,Siliguri,2023-01-27 07:44:00,Low,Network Infrastructure,0,OSINT,0.87
INC-0226,GPS Interference,Kolkata,2023-03-04 18:43:00,Low,Server,0,SIGINT,0.74
INC-0227,GPS Interference,Siliguri,2023-04-28 03:41:00,Low,Vehicle,0,OSINT,0.84
INC-0228,Unauthorized Access,Jalpaiguri,2023-05-19 16:13:00,Low,Power Grid,1,Sensor,0.64
INC-0229,Drone Sighting,Kolkata,2023-02-07 10:49:00,Low,Vehicle,0,IMINT,0.77
INC-0230,Infrastructure Failure,Siliguri,2023-04-25 23:13:00,Medium,Vehicle,0,ELINT,0.82
INC-0231,Data Breach,Bardhaman,2023-04-28 15:48:00,High,Power Grid,1,IMINT,0.52
INC-0232,Data Breach,Kolkata,2023-03-05 21:06:00,High,Warehouse,0,ELINT,0.81
INC-0233,Infrastructure Failure,Asansol,2023-04-20 14:12:00,Low,Power Grid,0,Internal Report,0.81
INC-0234,Physical Security Breach,Kharagpur,2023-04-05 09:53:00,Low,Satellite,1,HUMINT,0.8
INC-0235,Fire,Asansol,2023-05-11 01:13:00,Medium,Power Grid,0,HUMINT,0.6
INC-0236,Suspicious Activity,Kolkata,2023-02-06 18:42:00,Low,Warehouse,0,ELINT,0.7
INC-0237,Infrastructure Failure,Malda,2023-03-31 11:19:00,High,Satellite,1,SIGINT,0.78
INC-0238,Data Breach,Durgapur,2023-06-21 19:49:00,Medium,Personnel,1,SIGINT,0.75
INC-0239,Infrastructure Failure,kolkata,2023-06-20 21:17:00,Low,Warehouse,0,HUMINT,0.72
INC-0240,GPS Interference,Siliguri,2023-03-15 01:10:00,Critical,Server,0,CCTV,0.81
INC-0241,Vehicle Incident,Jalpaiguri,2023-02-25 04:26:00,Medium,Power Grid,0,ELINT,0.89
INC-0242,Infrastructure Failure,Darjeeling,2023-04-25 19:45:00,Low,Warehouse,0,IMINT,0.66
INC-0243,Infrastructure Failure,Raiganj,2023-04-05 23:28:00,High,Communication Tower,1,SIGINT,0.83
INC-0244,Fire,Durgapur,2023-05-06 10:33:00,Medium,Warehouse,0,ELINT,0.68
INC-0245,Supply Disruption,Durgapur,2023-06-11 03:10:00,High,Drone,0,IMINT,1.2
INC-0246,Communication Outage,Cooch Behar,2023-05-31 11:08:00,Medium,Database,1,Unknown,0.56
INC-0247,Physical Security Breach,Darjeeling,2023-04-20 18:05:00,Medium,Warehouse,0,,0.99
INC-0248,Communication Outage,Raiganj,2023-02-17 02:13:00,Low,Database,0,HUMINT,0.73
INC-0249,Suspicious Activity,Asansol,2023-06-29 02:25:00,High,Power Grid,0,SIGINT,0.78
INC-0250,Data Breach,Durgapur,2023-01-20 21:26:00,Critical,Personnel,1,HUMINT,0.61
INC-0251,GPS Interference,Durgapur,2023-03-14 15:20:00,High,Personnel,1,CCTV,0.71
INC-0252,GPS Interference,Haldia,2023-02-16 19:46:00,Low,Database,0,Unknown,0.65
INC-0253,Fire,Cooch Behar,2023-03-20 06:49:00,Critical,Database,1,Unknown,0.53
INC-0254,Unauthorized Access,Raiganj,2023-04-29 18:45:00,Medium,Vehicle,1,Unknown,0.43
INC-0255,Personnel Incident,Cooch Behar,2023-02-26 23:34:00,Low,Power Grid,0,ELINT,0.6
INC-0256,Data Breach,Haldia,2023-03-14 20:12:00,Critical,Personnel,0,SIGINT,0.71
INC-0257,Supply Disruption,Raiganj,2023-06-06 07:00:00,Medium,Warehouse,0,CCTV,0.93
INC-0258,Drone Sighting,Kolkata,2023-03-12 18:17:00,High,Satellite,1,Social Media,0.41
INC-0259,Supply Disruption,Bardhaman,2023-05-11 09:11:00,Low,Network Infrastructure,0,IMINT,0.61
INC-0260,Supply Disruption,Kolkata,2023-02-07 07:34:00,High,Satellite,0,Social Media,0.47
INC-0261,Unauthorized Access,Raiganj,2023-05-16 02:19:00,Medium,Power Grid,0,Social Media,0.56
INC-0262,GPS Interference,Malda,2023-06-19 18:59:00,High,Server,2,HUMINT,
INC-0263,Cyber Intrusion,Kolkata,2023-03-11 12:16:00,Low,Power Grid,0,CCTV,0.97
INC-0264,Fire,Asansol,2023-04-25 10:14:00,Low,Database,0,Sensor,0.71
